farm_st_no,farm_st_name,farm_city,farm_name,farm_postal_code,farm_prem_id,farm_state,farm_lat,farm_lon,farm_id
582, fake Street,Pittsfield,my_farm_name_B,62363,325UDIW,IL,41.0829,-94.3104,1
743, fake Street,Sheffield,my_farm_name_L,50475,778EYUX,IA,46.38174,-92.14026,2
026, fake Street,Shelby,my_farm_name_C,51570,733DTME,IA,43.07102,-99.01941,3
550, fake Street,Edison,my_farm_name_R,68936,853OBOV,NE,43.80099,-98.72475,4
501, fake Street,Leopold,my_farm_name_J,47551,671HMJV,IN,39.67177,-90.09549,5
028, fake Street,Battle Creek,my_farm_name_K,51006,477EDVX,IA,45.88508,-94.49498,6
112, fake Street,Havelock,my_farm_name_M,50574,611ULSK,IA,46.36619,-93.63721,7
217, fake Street,Albion,my_farm_name_E,46701,582PHBR,IN,42.97002,-88.94877,8
834, fake Street,Fonda,my_farm_name_S,50540,220FAPG,IA,46.22264,-93.76849,9
308, fake Street,Hampton,my_farm_name_I,50441,360FDCZ,IA,44.33265,-96.68334,10
058, fake Street,Ute,my_farm_name_O,51060,554DGRT,IA,45.53324,-94.59197,11
813, fake Street,Edison,my_farm_name_H,68936,715ELOH,NE,41.87143,-103.33981,12
846, fake Street,Altona,my_farm_name_Q,61414,453YIAE,IL,44.67619,-89.01749,13
613, fake Street,Flat Rock,my_farm_name_T,62427,730AOYL,IL,42.391528,-86.477042,14
